Korda Sándor
8;10
5;5;F
4;5;F
3;5;D
2;1;D
4;1;D
4;1;F
6;2;D
7;6;D
8;9;D
1;10;D
2;10;D
8;6;F
3;10;F
1;4;D
2;6;D
8;3;F
4;5;D
6;10;F
2;3;F
5;8;F
3;8;D
7;2;F
5;2;D
7;3;D
6;10;F
6;1;F
5;7;D
5;5;F
4;8;D
1;7;F
7;3;D
3;1;F
7;1;D
5;5;F
1;1;D
7;9;F
4;4;D
7;8;F
6;3;D
4;9;D
8;6;D
8;3;D
5;1;F
4;1;D
4;5;F
2;5;D
2;3;F
3;4;F
1;2;F
4;9;D
8;8;F
2;8;D
6;8;F
1;9;D
2;5;D
5;5;F
7;3;F
8;10;D
5;8;D
6;4;D
2;1;D
4;8;D
2;6;F
4;3;F
5;7;D
3;9;D
3;1;D
3;8;D
1;8;F
2;4;F
8;3;D
3;1;F
8;4;D
4;6;D
3;1;F
6;6;D
3;6;D
3;3;D
5;1;D
3;4;F
7;9;D
6;10;D
8;10;F
4;3;D
8;9;F
6;1;D
7;6;F
7;10;D
3;3;D
6;4;D
8;4;D
2;4;D
5;10;D
2;10;D
2;5;F
6;5;F
8;2;F
5;6;F
8;8;D
2;2;D
2;10;F
2;5;D
8;9;D
5;7;D
4;9;F
2;10;F
1;1;D
5;3;D
7;9;D
4;8;D
7;3;F
1;5;D
7;7;F
6;6;F
1;1;F
3;3;D
1;4;F
1;2;D
3;9;D
7;9;F
7;6;D
7;8;F
6;4;F
2;4;F
4;9;D
8;8;D
4;10;D
6;10;D
5;10;D
5;8;D
3;8;D
4;3;F
1;6;D
1;7;D
6;10;F
5;6;F
2;3;F
5;9;D
6;7;F
6;4;D
5;5;D
3;8;F
1;1;D
1;6;F
8;10;F
7;6;D
5;2;F
6;7;D

Kabos Gyula
5;8
2;4;D
5;8;D
5;2;D
4;6;D
2;7;D
2;5;D
1;4;F
4;2;D
1;6;D
5;4;F
3;4;F
4;4;D
5;6;F
4;3;F
1;5;F
3;5;D
5;3;D
2;8;D
3;3;D
5;5;D
2;6;D
3;6;F
5;7;F
3;2;F
4;7;D
1;3;F
2;3;D
5;1;F
2;2;D
1;7;D
4;8;D
2;1;D
4;1;D
3;8;F
3;7;F

Karády Katalin
7;10
3;4;F
1;5;F
5;3;F
7;4;D
5;10;F
6;7;D
4;7;F
6;8;F
6;5;D
3;9;D
2;3;D
5;8;D
4;9;D
6;1;D
5;5;D
1;6;D
4;8;F
1;9;D
3;3;D
1;4;F
7;8;D
3;5;F
7;5;D
7;6;D
4;3;D
7;2;F
4;2;F
6;3;D
6;10;D
5;6;F
3;8;F
3;5;D
4;1;D
6;4;D
6;6;D
3;8;D
1;6;F
4;4;D
2;2;D
4;8;D
6;4;F
3;3;F
1;8;D
6;9;D
1;5;D
6;8;D
1;1;D
3;6;D
5;6;D
2;1;D
7;4;F
3;10;D
2;8;F
3;1;D
1;10;F
6;2;F
1;3;D
2;2;F
2;6;D
3;2;F
7;9;F
2;5;D
7;3;F
7;2;D
5;7;D
5;2;F
1;2;F
6;7;F
2;1;F
3;2;D
2;8;D
1;2;D
2;5;F
7;7;D
1;9;F
7;9;D
4;7;D
7;5;F
3;7;F
7;1;D
2;10;F
6;6;F
2;3;F
1;1;F
3;7;D
5;4;F
2;9;D
4;6;D
5;1;F
3;4;D
5;9;D
5;2;D
1;4;D
4;2;D

Jávor Pál
5;7
5;3;F
2;4;F
4;6;D
1;4;D
2;6;F
4;2;F
4;7;F
1;6;D
1;3;F
1;7;F
3;7;F
2;7;D
5;5;D
5;4;D
4;1;D
5;6;F
3;5;D
4;5;F
3;2;D
1;5;D
2;2;D
2;1;F
3;1;D
2;3;F
5;7;F
3;3;F
3;4;D
4;3;D
1;1;D
2;5;D
3;6;D
1;2;D
4;4;D
5;1;F

Latabár Kálmán
6;8
3;4;D
6;4;D
5;8;D
3;2;D
2;4;D
3;8;D
4;5;F
1;8;D
5;3;D
6;2;D
2;2;D
4;6;D
3;7;F
3;6;D
5;5;F
2;1;F
2;7;F
5;2;F
3;3;F
4;4;D
5;6;D
1;4;D
2;8;F
4;8;D
3;5;F
4;3;F
5;7;F
2;3;D
6;3;D
6;6;D
6;1;D
4;1;D
6;8;D
1;1;D
1;7;F
3;1;D
2;6;D
6;5;D
4;2;F
5;4;D
1;3;D
4;7;F
5;1;D
6;7;D
1;5;F
1;6;D

Radványi Géza
8;10
7;8;F
4;1;D
4;4;D
4;2;F
6;9;D
8;10;D
5;10;F
3;1;D
6;6;D
2;7;D
3;3;F
3;6;F
8;7;D
8;3;D
7;4;F
2;8;D
2;10;F
4;3;D
1;10;D
7;2;D
7;9;D
1;4;F
1;3;D
7;5;D
2;6;F
5;4;D
2;3;D
4;7;D
4;5;F
4;9;D
5;7;D
2;9;D
4;6;D
3;4;D
1;2;F
2;5;D
3;10;F
5;9;F
1;7;D
2;4;D
5;8;D
6;7;F
7;1;F
6;1;D
8;9;D
3;9;F
8;1;F
7;10;D
6;5;F
3;8;D
5;1;D
8;5;F
1;5;D
7;3;D
8;4;D
1;8;D
1;6;D
1;1;F
6;3;F
7;7;F
3;5;F
1;9;D
6;8;D
